expediente|cod_plan|des_plan|anio_apertura_expediente|exp_cerrado|exp_trasladado|tipo_traslado|exp_bloqueado|abandona|anio_convocatoria_acceso|convocatoria_acceso|acceso|des_acceso|sub_acceso|des_subacesso|nota_acceso|nota_admision_def|centro_escolar_acceso|sexo|fecha_nacimiento|cod_provincia|provincia|cod_municipio|municipio
2|1621|MÁSTER EN COMPUTACIÓN GRID Y PARALELISMO|2007-08|S|N||N|N|2004-05|SEP|6|Acceso a Segundo Ciclo|1|.||||H|1981-10-23|10.0|CÁCERES|1.0|CÁCERES
3|1621|MÁSTER EN COMPUTACIÓN GRID Y PARALELISMO|2007-08|S|N||N|N|2000-01|DIC|6|Acceso a Segundo Ciclo|1|.||||H|1977-07-09|10.0|CÁCERES|1.0|CÁCERES
5|1621|MÁSTER EN COMPUTACIÓN GRID Y PARALELISMO|2007-08|S|N||N|N|1994-95|FEB|6|Acceso a Segundo Ciclo|1|.||||D|1970-08-26|6.0|BADAJOZ|345.0|JEREZ DE LOS CABALLEROS
6|1621|MÁSTER EN COMPUTACIÓN GRID Y PARALELISMO|2007-08|N|N||N|S|2003-04|JUN|6|Acceso a Segundo Ciclo|1|.||||H|1978-11-16|6.0|BADAJOZ|740.0|VILLAFRANCA DE LOS BARROS
7|1621|MÁSTER EN COMPUTACIÓN GRID Y PARALELISMO|2007-08|S|N||N|N|1996-97|OCT|6|Acceso a Segundo Ciclo|1|.||||H|1971-11-01|6.0|BADAJOZ|1.0|BADAJOZ
8|1621|MÁSTER EN COMPUTACIÓN GRID Y PARALELISMO|2007-08|S|N||N|N|2005-06|SEP|6|Acceso a Segundo Ciclo|1|.||||H|1984-04-26|10.0|CÁCERES|1.0|CÁCERES
9|1621|MÁSTER EN COMPUTACIÓN GRID Y PARALELISMO|2007-08|S|N||N|N|2006-07|DIC|6|Acceso a Segundo Ciclo|1|.||||H|1984-05-30|6.0|BADAJOZ|760.0|VILLANUEVA DE LA SERENA
11|1621|MÁSTER EN COMPUTACIÓN GRID Y PARALELISMO|2007-08|N|N||N|S|2006-07|DIC|6|Acceso a Segundo Ciclo|1|.||||H|1979-06-21|17.0|GIRONA|252.0|FIGUERES
12|1621|MÁSTER EN COMPUTACIÓN GRID Y PARALELISMO|2007-08|S|N||N|N|1989-90|JUN|6|Acceso a Segundo Ciclo|1|.||||H|1965-12-05|6.0|BADAJOZ|410.0|MÉRIDA
13|1621|MÁSTER EN COMPUTACIÓN GRID Y PARALELISMO|2007-08|S|N||N|N|1987-88|FEB|6|Acceso a Segundo Ciclo|1|.||||H|1963-12-14|60.0|EXTRANJEROS||
