expediente|cod_plan|des_plan|anio_apertura_expediente|exp_cerrado|exp_trasladado|tipo_traslado|exp_bloqueado|abandona|anio_convocatoria_acceso|convocatoria_acceso|acceso|des_acceso|sub_acceso|des_subacesso|nota_acceso|nota_admision_def|centro_escolar_acceso|sexo|fecha_nacimiento|cod_provincia|provincia|cod_municipio|municipio
1|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|S|S|S|N|N|2008-09|JUN|1|Selectividad|1|LOGSE|7.16|7.16|229-COLEGIO LA ASUNCIÓN (Cáceres)|H|1991-05-23|10.0|CÁCERES|1.0|CÁCERES
2|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|S|N|N|N|N|2008-09|JUN|1|Selectividad|1|LOGSE|6.77|||D|1991-03-28|40.0|SEGOVIA|1.0|SEGOVIA
3|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|N|N|N|N|S|2008-09|JUN|3|Formación Profesional|1|Ciclos formativos|7.78|||H|1985-02-03|4.0|ALMERÍA|1.0|ALMERÍA
4|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|S|N|N|N|N|2008-09|JUN|3|Formación Profesional|1|Ciclos formativos|5.88|||D|1988-11-09|6.0|BADAJOZ|1.0|BADAJOZ
5|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|N|S|I|N|S|2008-09|JUN|1|Selectividad|1|LOGSE|6.73|6.73|160-COLEGIO SAGRADA FAMILIA|D|1991-11-03|6.0|BADAJOZ|1.0|BADAJOZ
6|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|S|N|N|N|N|2008-09|JUN|1|Selectividad|1|LOGSE|8.08|||H|1991-06-22|6.0|BADAJOZ|1.0|BADAJOZ
7|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|N|S|S|N|S|2008-09|JUN|3|Formación Profesional|1|Ciclos formativos|8.1|8.1||H|1988-07-10|6.0|BADAJOZ|410.0|MÉRIDA
8|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|N|S|S|N|N|2008-09|JUN|1|Selectividad|1|LOGSE|7.17|7.17|203-I.E.S. ALAGÓN|D|1991-01-30|10.0|CÁCERES|264.0|CORIA
9|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|S|N|N|N|N|2006-07|JUN|1|Selectividad|1|LOGSE||||D|1989-03-13|10.0|CÁCERES|1.0|CÁCERES
10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|S|N|N|N|N|2008-09|JUN|1|Selectividad|1|LOGSE|7.35|||D|1991-05-09|10.0|CÁCERES|264.0|CORIA
